TA,Phase,Year,TotalStudies,Study#,Status,EDCBuilds,DBL,FinalTFL,PROTtoEDC_N,PROTtoEDC_Mean,PROTtoEDC_SD,PROTtoEDC_Median,PROTtoEDC_Min,PROTtoEDC_Max,LPLVtoDBL_N,LPLVtoDBL_Mean,LPLVtoDBL_SD,LPLVtoDBL_Median,LPLVtoDBL_Min,LPLVtoDBL_Max,DBLtoTFL_N,DBLtoTFL_Mean,DBLtoTFL_SD,DBLtoTFL_Median,DBLtoTFL_Min,DBLtoTFL_Max,NumCRF_N,NumCRF_Mean,NumCRF_SD,NumCRF_Median,NumCRF_Min,NumCRF_Max,NumQueries_N,NumQueries_Mean,NumQueries_SD,NumQueries_Median,NumQueries_Min,NumQueries_Max,NumTFLs_N,NumTFLs_Mean,NumTFLs_SD,NumTFLs_Median,NumTFLs_Min,NumTFLs_Max,NumMigrationLE2_N,NumMigrationLE2_n_1,NumMigrationLE2_perc,NumStudyDBUL_N,NumStudyDBUL_n_1,NumStudyDBUL_perc,NumTFLsLE250_N,NumTFLsLE250_n_1,NumTFLsLE250_perc
All,All,2024,80,16,Completed,82,12,14,84,135.16667,83.45821,126,14,452,14,146.0625,64.85005,129,65,272,12,21.75,20.307299,17.5,5,78,84,41.45238,18.58773,38,12,80,75,38959.88,73580.5,8594,109,464066,16,197.875,112.237175,160.5,102,493,84,27,0.32142857,90,1,0,16,13,0.8125
All,All,2024,80,19,InitiatedStudies,82,12,14,84,135.16667,83.45821,126,14,452,14,146.0625,64.85005,129,65,272,12,21.75,20.307299,17.5,5,78,84,41.45238,18.58773,38,12,80,75,38959.88,73580.5,8594,109,464066,16,197.875,112.237175,160.5,102,493,84,27,0.32142857,90,1,0,16,13,0.8125
All,All,2024,80,55,Ongoing,82,12,14,84,135.16667,83.45821,126,14,452,14,146.0625,64.85005,129,65,272,12,21.75,20.307299,17.5,5,78,84,41.45238,18.58773,38,12,80,75,38959.88,73580.5,8594,109,464066,16,197.875,112.237175,160.5,102,493,84,27,0.32142857,90,1,0,16,13,0.8125
All,All,2025,90,16,Completed,84,18,16,84,135.16667,83.45821,127,15,456,16,146.0625,64.85005,128,63,271,12,21.75,20.307299,15.5,5,78,84,41.45238,18.58773,36,12,80,75,38959.88,73580.5,8591,109,464066,16,197.875,112.237175,150.5,102,493,84,27,0.32142857,90,1,0,16,13,0.8125
All,All,2025,90,19,InitiatedStudies,84,18,16,84,135.16667,83.45821,127,15,456,16,146.0625,64.85005,128,63,271,12,21.75,20.307299,15.5,5,78,84,41.45238,18.58773,36,12,80,75,38959.88,73580.5,8591,109,464066,16,197.875,112.237175,150.5,102,493,84,27,0.32142857,90,1,0,16,13,0.8125
All,All,2025,90,55,Ongoing,84,18,16,84,135.16667,83.45821,127,15,456,16,146.0625,64.85005,128,63,271,12,21.75,20.307299,15.5,5,78,84,41.45238,18.58773,36,12,80,75,38959.88,73580.5,8591,109,464066,16,197.875,112.237175,150.5,102,493,84,27,0.32142857,90,1,0,16,13,0.8125
All,P1,2024,45,13,Completed,40,13,13,40,99.375,71.87299,83,15,429,13,158.53847,64.30736,128,79,271,9,25.666666,22.14159,17,8,78,40,30.925,15.670301,26,12,79,34,6876.6177,11111.491,3695,428,61058,13,199.07692,123.4183,150,102,493,40,19,0.475,43,0,0,13,11,0.84615386
All,P1,2025,43,13,Completed,40,13,13,40,99.375,71.87299,83,15,429,13,158.53847,64.30736,128,79,271,9,25.666666,22.14159,17,8,78,40,30.925,15.670301,26,12,79,34,6876.6177,11111.491,3695,428,61058,13,199.07692,123.4183,150,102,493,40,19,0.475,43,0,0,13,11,0.84615386
All,P1,2024,45,12,InitiatedStudies,40,13,13,40,99.375,71.87299,83,15,429,13,158.53847,64.30736,128,79,271,9,25.666666,22.14159,17,8,78,40,30.925,15.670301,26,12,79,34,6876.6177,11111.491,3695,428,61058,13,199.07692,123.4183,150,102,493,40,19,0.475,43,0,0,13,11,0.84615386
All,P1,2025,43,12,InitiatedStudies,40,13,13,40,99.375,71.87299,83,15,429,13,158.53847,64.30736,128,79,271,9,25.666666,22.14159,17,8,78,40,30.925,15.670301,26,12,79,34,6876.6177,11111.491,3695,428,61058,13,199.07692,123.4183,150,102,493,40,19,0.475,43,0,0,13,11,0.84615386
All,P1,2024,45,18,Ongoing,40,13,13,40,99.375,71.87299,83,15,429,13,158.53847,64.30736,128,79,271,9,25.666666,22.14159,17,8,78,40,30.925,15.670301,26,12,79,34,6876.6177,11111.491,3695,428,61058,13,199.07692,123.4183,150,102,493,40,19,0.475,43,0,0,13,11,0.84615386
All,P1,2025,43,18,Ongoing,40,13,13,40,99.375,71.87299,83,15,429,13,158.53847,64.30736,128,79,271,9,25.666666,22.14159,17,8,78,40,30.925,15.670301,26,12,79,34,6876.6177,11111.491,3695,428,61058,13,199.07692,123.4183,150,102,493,40,19,0.475,43,0,0,13,11,0.84615386
All,P2,2024,30,1,Completed,27,1,1,27,187.2963,91.21016,162,73,456,1,133,,133,133,133,1,5,,5,5,5,27,50.37037,16.267353,44,25,80,24,24656.084,29858.73,12873.5,465,115218,1,145,,145,145,145,27,6,0.22222222,30,0,0,1,1,1
